Rank;Country;Region;Documents;Citable documents;Citations;Self-citations;Citations per document;H index
1;United States;Northern America;16047770;13969135;515339352;211154763;32.11;3051
2;China;Asiatic Region;10372322;10180089;145875947;86501833;14.06;1333
3;United Kingdom;Western Europe;4778980;3984194;142963939;29272921;29.92;1928
4;Germany;Western Europe;4104599;3741033;110076588;24142498;26.82;1690
5;Japan;Asiatic Region;3482279;3308467;70350390;16354163;20.2;1301
6;India;Asiatic Region;2970196;2700702;37700885;13122873;12.69;858
7;France;Western Europe;2784321;2561817;74641013;13665511;26.81;1514
8;Italy;Western Europe;2525870;2269098;61745641;13429245;24.45;1333
9;Canada;Northern America;2426840;2156112;74088684;11485690;30.53;1562
10;Australia;Pacific Region;2009795;1756807;57290179;10215117;28.51;1377
11;Spain;Western Europe;1986724;1818207;46573860;9115285;23.44;1215
12;Russian Federation;Eastern Europe;1722547;1672245;15529380;5205946;9.02;753
13;South Korea;Asiatic Region;1604519;1552810;30870039;5238570;19.24;934
14;Brazil;Latin America;1427852;1344526;22432570;6643169;15.71;789
15;Netherlands;Western Europe;1343844;1201139;48221503;6306535;35.88;1373
16;Switzerland;Western Europe;1001958;906005;36539683;4064816;36.47;1291
17;Poland;Eastern Europe;964968;914009;13933794;3051764;14.44;738
18;Turkey;Middle East;919863;852300;13171771;2603646;14.32;601
19;Sweden;Western Europe;908607;830620;30189093;3771615;33.23;1159
20;Iran;Middle East;886359;857630;13089835;3851805;14.77;490
21;Taiwan;Asiatic Region;880380;845632;16709430;2560215;18.98;688
22;Belgium;Western Europe;739211;670141;23167907;2507783;31.34;1067
23;Denmark;Western Europe;571552;516164;19890735;2300633;34.8;1014
24;Austria;Western Europe;557479;502686;15484523;1672768;27.78;877
25;Israel;Middle East;514345;465525;15531596;1741362;30.2;914
26;Malaysia;Asiatic Region;502815;477046;6857678;1393297;13.64;504
27;Portugal;Western Europe;485426;439649;10334832;1533005;21.29;685
28;Mexico;Latin America;483821;449616;7783100;1390760;16.09;598
29;Czech Republic;Eastern Europe;468680;447299;7619109;1343386;16.26;625
30;Finland;Western Europe;466403;427960;13995424;1714045;30.01;847
31;Norway;Western Europe;464965;415290;13213022;1654243;28.42;843
32;Hong Kong;Asiatic Region;461423;426474;13646296;1369127;29.57;800
33;South Africa;Africa;448391;400444;8522745;1601723;19.01;652
34;Greece;Western Europe;447972;401880;10227739;1306335;22.83;685
35;Singapore;Asiatic Region;432121;393012;12870663;1128547;29.78;806
36;Saudi Arabia;Middle East;419090;402188;7363450;1214704;17.57;568
37;Egypt;Africa/Middle East;389675;374770;5816259;1228129;14.93;409
38;Indonesia;Asiatic Region;376908;366528;2287188;670472;6.07;318
39;New Zealand;Pacific Region;342097;299657;9476128;1111606;27.7;716
40;Pakistan;Asiatic Region;328610;310961;4715916;1103453;14.35;428
41;Ireland;Western Europe;309576;268768;8365226;761794;27.02;711
42;Thailand;Asiatic Region;305015;288839;4767712;706073;15.63;452
43;Ukraine;Eastern Europe;302055;292719;2446387;721367;8.1;358
44;Romania;Eastern Europe;299401;284747;3366131;616696;11.24;419
45;Argentina;Latin America;297251;276194;5911853;1028543;19.89;568
46;Hungary;Eastern Europe;268747;251684;5585446;723630;20.78;599
47;Chile;Latin America;244520;230153;4719184;812276;19.3;515
48;Colombia;Latin America;187928;176164;2481162;366529;13.2;405
49;Nigeria;Africa;175445;161954;1963828;403374;11.19;303
50;Slovakia;Eastern Europe;162757;156095;2178222;365610;13.38;355
51;Croatia;Eastern Europe;154324;145561;2106540;313239;13.65;380
52;Serbia;Eastern Europe;142159;133376;1989659;308767;14.0;350
53;Viet Nam;Asiatic Region;139043;132344;2021594;309286;14.54;316
54;Slovenia;Eastern Europe;136232;127869;2623644;330789;19.26;409
55;Tunisia;Africa;134434;127012;1719289;290297;12.79;271
56;Iraq;Middle East;126881;124059;887934;232916;7.0;199
57;United Arab Emirates;Middle East;124488;114062;1797970;186576;14.44;329
58;Morocco;Africa;122005;114496;1364140;288190;11.18;261
59;Bulgaria;Eastern Europe;117142;111549;1638875;208797;13.99;347
60;Algeria;Africa;116123;112604;1257462;252730;10.83;239
61;Bangladesh;Asiatic Region;108707;101446;1571871;276226;14.46;304
62;Jordan;Middle East;82514;79424;1095944;153686;13.28;251
63;Lithuania;Eastern Europe;79503;75747;1169327;168264;14.71;298
64;Philippines;Asiatic Region;68595;62662;1129250;114171;16.46;325
65;Ethiopia;Africa;66363;63092;938532;224745;14.14;226
66;Peru;Latin America;64597;59211;944617;114452;14.62;315
67;Estonia;Eastern Europe;62678;58118;1576072;181093;25.15;383
68;Kenya;Africa;61619;54920;1480010;190425;24.02;346
69;Lebanon;Middle East;57050;51845;1025295;86535;17.97;295
70;Qatar;Middle East;55757;50990;1129202;98383;20.25;295
71;Kazakhstan;Asiatic Region;55445;53311;385558;79815;6.95;163
72;Belarus;Eastern Europe;53486;52220;636026;105380;11.89;232
73;Cuba;Latin America;52870;49686;560913;85462;10.61;223
74;Ecuador;Latin America;51197;48436;608599;85459;11.89;223
75;Cyprus;Western Europe;49781;44255;1000506;92289;20.1;303
76;Venezuela;Latin America;48729;46090;805989;71516;16.54;279
77;Ghana;Africa;47904;43882;741815;111558;15.49;222
78;Latvia;Eastern Europe;40648;38687;544109;66937;13.39;225
79;Kuwait;Middle East;39905;37702;624954;53242;15.66;220
80;Sri Lanka;Asiatic Region;39260;35713;645993;60104;16.45;251
81;Oman;Middle East;37402;33945;562959;50047;15.05;217
82;Macao;Asiatic Region;35359;33642;653703;50824;18.49;224
83;Luxembourg;Western Europe;34808;31099;768768;55953;22.09;274
84;Iceland;Western Europe;32773;29292;1214666;94812;37.06;393
85;Uganda;Africa;32292;29234;692375;99475;21.44;236
86;Nepal;Asiatic Region;31245;28135;474624;60046;15.19;202
87;Tanzania;Africa;31237;28753;665894;89117;21.32;228
88;Georgia;Eastern Europe;31114;27715;634985;64919;20.41;248
89;Uruguay;Latin America;31011;28632;637993;69257;20.57;243
90;Uzbekistan;Asiatic Region;30182;29354;204953;60205;6.79;126
91;Cameroon;Africa;29343;27545;492215;84238;16.77;186
92;Armenia;Eastern Europe;24346;23387;457146;76694;18.78;235
93;Azerbaijan;Eastern Europe;24299;23563;245342;47439;10.1;153
94;Puerto Rico;Latin America;22803;21307;650236;29166;28.52;281
95;Bosnia and Herzegovina;Eastern Europe;22802;21091;220844;20487;9.69;144
96;Costa Rica;Latin America;21425;19783;483056;42442;22.55;235
97;Zimbabwe;Africa;18243;15668;330570;34666;18.12;187
98;Macedonia;Eastern Europe;18164;16972;262967;19187;14.48;170
